NHL_GP_Greater_Than_0,Nationality,PIMs_Per_Game_in_Draft_Year,Goals_Per_Game_in_Draft_Year,Assists_Per_Game_in_Draft_Year,Player_Size_in_Draft_Year,Playoffs_in_Draft_Year,Position_in_Draft_Year
no,USA,0.565217391,0.304347826,0.326086957,245,No,W
no,USA,0.566666667,0.216666667,0.166666667,260,Yes,W
no,CAN,0.566666667,0.216666667,0.233333333,292,Yes,W
yes,EURO,0.566666667,0.85,1.066666667,271,Yes,C
no,CAN,0.568181818,0.409090909,0.340909091,268,Yes,W
yes,CAN,0.568181818,0.204545455,0.863636364,256,Yes,D
no,USA,0.568965517,0.189655172,0.448275862,290,No,W
no,EURO,0.569444444,0.069444444,0.152777778,283,Yes,D
yes,EURO,0.569444444,0.430555556,0.958333333,261,Yes,C
no,EURO,0.571428571,0.178571429,0.107142857,288,No,W
yes,CAN,0.571428571,0.142857143,0.142857143,259,No,W
no,EURO,0.571428571,0.457142857,0.671428571,261,Yes,D
yes,CAN,0.573529412,0.426470588,0.397058824,285,Yes,C
no,CAN,0.575757576,0.151515152,0.378787879,268,Yes,C
yes,CAN,0.578125,0.5625,0.4375,261,Yes,W
yes,USA,0.578947368,0.447368421,0.657894737,273,No,W
yes,EURO,0.580645161,0.193548387,0.129032258,299,No,W
no,CAN,0.580645161,0,0.225806452,290,Yes,D
no,CAN,0.580645161,0,0.258064516,279,No,D
no,EURO,0.582089552,0.567164179,0.805970149,273,No,C
no,EURO,0.583333333,0.027777778,0.236111111,273,Yes,D
yes,CAN,0.586206897,0.844827586,0.672413793,267,Yes,W
yes,USA,0.586666667,0.56,0.733333333,263,Yes,C
yes,CAN,0.586956522,0.413043478,0.347826087,264,Yes,W
yes,CAN,0.588235294,0.196078431,0.196078431,329,Yes,W
no,CAN,0.588235294,0.294117647,0.323529412,297,No,C
no,EURO,0.588235294,0.058823529,0.333333333,273,Yes,D
no,EURO,0.588235294,0.235294118,0.470588235,286,No,W
yes,CAN,0.588235294,0.632352941,0.705882353,287,Yes,W
no,CAN,0.588235294,0.5,0.852941176,278,Yes,W
no,EURO,0.588235294,1.073529412,0.897058824,277,Yes,W
yes,CAN,0.590909091,0.136363636,0.113636364,266,Yes,D
yes,EURO,0.591549296,0.507042254,0.690140845,271,Yes,W
yes,CAN,0.592592593,0.185185185,0.259259259,299,Yes,W
no,EURO,0.592592593,0.240740741,0.537037037,286,Yes,C
no,CAN,0.592592593,0.444444444,0.666666667,247,No,C
yes,EURO,0.593220339,0.254237288,0.271186441,267,Yes,C
yes,CAN,0.594202899,0.492753623,0.405797101,273,Yes,W
yes,EURO,0.594594595,0.189189189,0.283783784,307,Yes,W
yes,CAN,0.6,0.14,0.06,285,Yes,D
yes,CAN,0.6,0.033333333,0.066666667,331,No,W
yes,EURO,0.6,0.125,0.175,255,No,C
yes,CAN,0.6,0.155555556,0.177777778,294,Yes,D
yes,EURO,0.6,0.166666667,0.183333333,263,Yes,C
yes,CAN,0.6,0.1,0.25,268,Yes,W
yes,EURO,0.6,0.071428571,0.271428571,270,Yes,D
no,CAN,0.6,0.2,0.32,286,Yes,C
no,CAN,0.6,0.075,0.45,279,Yes,D
yes,CAN,0.6,0.383333333,0.516666667,263,Yes,W
yes,CAN,0.6,0.614285714,0.685714286,244,Yes,C
no,EURO,0.604651163,0.488372093,0.255813953,272,No,W
no,EURO,0.604651163,0.372093023,0.395348837,261,Yes,C
no,EURO,0.604651163,0.418604651,0.558139535,294,No,C
yes,EURO,0.605263158,0.25,0.394736842,264,Yes,C
yes,CAN,0.606060606,0.090909091,0.227272727,271,Yes,D
no,CAN,0.606557377,0.37704918,0.540983607,258,Yes,W
yes,CAN,0.608695652,0.108695652,0.065217391,274,Yes,W
no,EURO,0.608695652,0.289855072,0.52173913,247,No,C
no,USA,0.611111111,0.388888889,0.25,251,No,W
yes,CAN,0.611111111,0.347222222,0.291666667,263,Yes,W
yes,CAN,0.611111111,0.694444444,0.916666667,256,No,D
no,EURO,0.615384615,0.292307692,0.215384615,314,Yes,W
yes,CAN,0.615384615,0.58974359,0.820512821,260,No,C
yes,USA,0.617647059,0.25,0.132352941,261,Yes,W
yes,EURO,0.618181818,0.218181818,0.309090909,257,Yes,C
no,CAN,0.618181818,0.127272727,0.472727273,261,Yes,D
no,CAN,0.61971831,0.056338028,0.183098592,269,Yes,D
no,EURO,0.62,0.1,0.22,311,Yes,D
no,CAN,0.620689655,0.413793103,0.379310345,266,Yes,W
no,EURO,0.621621622,0.378378378,0.459459459,273,No,C
no,CAN,0.62295082,0.295081967,0.393442623,250,No,W
yes,CAN,0.625,0.236111111,0.222222222,278,No,C
no,EURO,0.625,0.15625,0.390625,284,Yes,C
no,CAN,0.625,0.347222222,0.430555556,250,Yes,C
yes,USA,0.625,0.111111111,0.541666667,260,Yes,D
no,CAN,0.62745098,0.058823529,0.176470588,267,Yes,W
yes,EURO,0.628571429,0.242857143,0.314285714,265,Yes,C
no,EURO,0.629032258,0.032258065,0.064516129,277,No,C
yes,CAN,0.62962963,0.37037037,0.203703704,270,Yes,C
yes,CAN,0.62962963,0.703703704,1.333333333,266,No,D
yes,CAN,0.631578947,0.447368421,0.184210526,255,Yes,C
no,EURO,0.631578947,0.122807018,0.245614035,270,No,C
yes,EURO,0.631578947,0.368421053,0.824561404,260,Yes,C
yes,CAN,0.632352941,0.691176471,0.779411765,275,Yes,W
yes,EURO,0.633333333,0.266666667,0.216666667,274,Yes,W
no,EURO,0.633333333,0.45,0.333333333,254,Yes,C
no,EURO,0.633802817,0.112676056,0.126760563,261,Yes,D
yes,CAN,0.634146341,0.048780488,0.170731707,279,No,W
yes,EURO,0.634146341,0.024390244,0.195121951,261,No,D
no,EURO,0.634146341,0.317073171,0.512195122,254,No,C
yes,EURO,0.636363636,0.363636364,0.159090909,285,No,W
yes,EURO,0.636363636,0.136363636,0.181818182,277,No,D
no,CAN,0.636363636,0.159090909,0.204545455,267,No,W
no,CAN,0.638888889,0.083333333,0.222222222,294,Yes,D
yes,EURO,0.638888889,0.402777778,0.736111111,260,Yes,W
no,EURO,0.64,0.16,0.18,257,Yes,W
yes,USA,0.64,0.42,0.28,273,No,W
yes,CAN,0.64,0.5,0.38,279,Yes,W
no,EURO,0.641509434,0.169811321,0.150943396,272,Yes,D
yes,CAN,0.641791045,0.208955224,0.268656716,293,No,C
no,USA,0.642857143,0.107142857,0.107142857,286,No,D
no,EURO,0.642857143,0.232142857,0.232142857,246,Yes,W
no,USA,0.642857143,0.257142857,0.314285714,294,Yes,C
no,USA,0.642857143,1.035714286,0.821428571,295,No,W
yes,USA,0.644067797,0.186440678,0.457627119,283,Yes,D
yes,USA,0.644736842,0.092105263,0.171052632,274,Yes,D
yes,USA,0.64516129,0.096774194,0.258064516,285,No,D
yes,USA,0.64516129,0.290322581,0.419354839,266,No,C
no,CAN,0.64516129,0.322580645,0.64516129,262,No,C
no,USA,0.64516129,0.677419355,0.677419355,266,Yes,W
no,USA,0.647058824,0.088235294,0.235294118,293,No,D
no,CAN,0.647058824,0.088235294,0.352941176,283,Yes,D
yes,USA,0.647058824,0.68627451,0.705882353,274,Yes,W
no,USA,0.647058824,0.205882353,0.75,263,Yes,D
no,CAN,0.647058824,0.485294118,1.205882353,271,Yes,C
no,CAN,0.648648649,0.108108108,0.243243243,285,No,D
no,USA,0.648648649,0.135135135,0.432432432,280,No,D
yes,CAN,0.649122807,0.456140351,0.719298246,258,Yes,C
no,EURO,0.65,0.2,0.5,255,No,D
yes,CAN,0.652173913,0.043478261,0.152173913,294,No,D
no,CAN,0.652173913,0.065217391,0.239130435,291,No,D
no,USA,0.652173913,0.413043478,0.739130435,274,No,W
no,USA,0.652777778,0.152777778,0.375,289,No,D
no,CAN,0.652777778,0.055555556,0.5,251,Yes,D
no,USA,0.653846154,0.192307692,0.288461538,256,Yes,D
no,EURO,0.653846154,0.141025641,0.371794872,293,No,C
no,USA,0.654545455,0.127272727,0.254545455,272,Yes,D
no,USA,0.655737705,0.344262295,0.491803279,262,Yes,D
no,USA,0.65625,0.03125,0.1875,262,Yes,D
yes,EURO,0.65625,0.375,0.453125,305,Yes,W
no,USA,0.657142857,0.028571429,0.2,293,Yes,W
yes,USA,0.657142857,0.057142857,0.442857143,251,No,D
no,CAN,0.657534247,0.01369863,0.219178082,254,Yes,D
yes,USA,0.666666667,0.285714286,0.071428571,287,No,W
yes,USA,0.666666667,0.106060606,0.075757576,272,No,W
no,USA,0.666666667,0.407407407,0.111111111,257,No,C
yes,CAN,0.666666667,0,0.142857143,291,No,D
no,CAN,0.666666667,0.294117647,0.176470588,277,No,W
no,EURO,0.666666667,0.177777778,0.177777778,264,No,W
yes,CAN,0.666666667,0.179487179,0.179487179,265,Yes,W
no,EURO,0.666666667,0.208333333,0.208333333,309,Yes,D
no,EURO,0.666666667,0.333333333,0.222222222,281,Yes,C
no,USA,0.666666667,0.333333333,0.3,287,No,W
no,EURO,0.666666667,0,0.303030303,297,No,D
yes,USA,0.666666667,0,0.333333333,300,No,D
no,EURO,0.666666667,0.181818182,0.363636364,271,No,C
no,EURO,0.666666667,0.155555556,0.4,277,Yes,D
no,EURO,0.666666667,0.166666667,0.416666667,256,No,D
yes,CAN,0.666666667,0.666666667,0.458333333,271,No,C
yes,USA,0.666666667,0.181818182,0.545454545,262,No,C
no,USA,0.666666667,0.111111111,0.597222222,261,Yes,D
no,EURO,0.666666667,0.142857143,0.603174603,239,No,D
no,EURO,0.666666667,0.041666667,0.708333333,287,No,D
no,EURO,0.666666667,0.862745098,1.098039216,302,Yes,W
no,EURO,0.666666667,0.952380952,1.523809524,261,No,W
no,USA,0.671232877,0.246575342,0.383561644,259,Yes,C
no,USA,0.671875,0.140625,0.359375,276,Yes,C
yes,USA,0.672131148,0.180327869,0.491803279,253,No,D
no,EURO,0.672131148,0.37704918,0.590163934,271,Yes,C
no,USA,0.672413793,0,0.120689655,255,Yes,D
no,EURO,0.672727273,0.527272727,0.927272727,295,Yes,W
no,USA,0.673469388,0.734693878,1.346938776,254,Yes,W
no,EURO,0.675675676,0.324324324,0.554054054,271,Yes,C
no,USA,0.676056338,0.042253521,0.169014085,298,Yes,D
yes,USA,0.676470588,0.147058824,0.205882353,286,Yes,C
no,USA,0.676470588,0.058823529,0.338235294,317,Yes,D
no,USA,0.676470588,0.308823529,0.338235294,229,Yes,W
yes,USA,0.676470588,0.544117647,0.676470588,261,Yes,W
yes,EURO,0.676923077,0.153846154,0.338461538,280,Yes,C
no,EURO,0.677419355,0.290322581,0.548387097,258,Yes,C
no,EURO,0.679245283,0.433962264,0.320754717,248,No,W
no,CAN,0.68,0.04,0.12,277,No,D
no,CAN,0.68,0.08,0.14,284,Yes,D
no,EURO,0.68115942,0.173913043,0.550724638,254,Yes,C
no,EURO,0.681818182,0.090909091,0.136363636,290,Yes,W
yes,EURO,0.681818182,0.386363636,0.522727273,256,No,W
yes,USA,0.682926829,0.146341463,0.12195122,271,Yes,D
no,CAN,0.682926829,0.097560976,0.219512195,286,No,C
no,CAN,0.682926829,0.390243902,0.56097561,238,Yes,W
yes,EURO,0.684210526,0.578947368,0.236842105,299,No,W
no,EURO,0.684210526,0.447368421,0.447368421,246,No,W
yes,EURO,0.685714286,0.028571429,0.085714286,263,No,D
yes,CAN,0.685714286,0.142857143,0.085714286,255,No,W
no,EURO,0.685714286,0.685714286,0.628571429,284,No,C
no,EURO,0.6875,0.03125,0.171875,301,Yes,D
no,CAN,0.6875,0.3125,0.208333333,267,Yes,W
yes,CAN,0.6875,0.3125,0.734375,263,Yes,D
no,EURO,0.689655172,0.137931034,0.482758621,257,No,D
yes,CAN,0.690140845,0.070422535,0.38028169,286,Yes,D
yes,CAN,0.690909091,0.181818182,0.254545455,291,Yes,W
no,CAN,0.690909091,0.127272727,0.454545455,251,Yes,D
no,EURO,0.692307692,0.243589744,0.384615385,269,Yes,C
no,USA,0.693548387,0.14516129,0.209677419,297,Yes,W
yes,USA,0.693877551,0.081632653,0.448979592,275,Yes,D
no,USA,0.694915254,0.203389831,0.305084746,278,Yes,D
yes,USA,0.694915254,0.338983051,0.508474576,269,Yes,W
yes,USA,0.695652174,0.369565217,0.652173913,277,Yes,C
no,CAN,0.696969697,0.318181818,0.378787879,268,No,W
no,EURO,0.696969697,0.484848485,0.424242424,266,No,W
no,USA,0.7,0.225,0.3,262,Yes,W
no,CAN,0.7,0.15,0.425,253,No,D
no,EURO,0.7,0.183333333,0.716666667,290,Yes,C
yes,EURO,0.702702703,0.081081081,0.324324324,269,No,D
yes,USA,0.705882353,0.117647059,0.117647059,298,Yes,D
no,USA,0.705882353,0.411764706,0.274509804,287,Yes,C
no,USA,0.705882353,0.117647059,0.294117647,291,No,C
yes,EURO,0.708333333,0.083333333,0.104166667,293,No,W
no,USA,0.708333333,0.125,0.180555556,257,Yes,C
yes,USA,0.708333333,0.416666667,0.361111111,262,Yes,C
no,EURO,0.709677419,0.193548387,0.096774194,266,Yes,W
no,EURO,0.709677419,0,0.161290323,279,No,D
yes,CAN,0.709677419,0.096774194,0.193548387,295,No,W
no,USA,0.709677419,0.258064516,0.516129032,253,No,C
no,CAN,0.711111111,0.044444444,0.044444444,263,Yes,D
no,USA,0.711111111,0.177777778,0.355555556,280,No,D
no,CAN,0.711111111,0.177777778,0.377777778,285,No,W
no,EURO,0.711538462,0.307692308,0.307692308,251,No,W
no,USA,0.711864407,0.152542373,0.474576271,255,Yes,D
no,USA,0.712328767,0.273972603,0.438356164,272,Yes,W
no,CAN,0.714285714,0.053571429,0.107142857,304,No,C
no,CAN,0.714285714,0.071428571,0.214285714,259,No,C
no,EURO,0.714285714,0.404761905,0.666666667,274,No,C
no,CAN,0.714285714,0.73015873,1.206349206,285,Yes,C
no,USA,0.717948718,0.051282051,0.128205128,267,No,D
no,USA,0.717948718,0.076923077,0.205128205,263,Yes,D
yes,EURO,0.71875,0.296875,0.59375,262,Yes,C
no,USA,0.72,0.04,0.2,282,No,D
no,USA,0.722222222,0,0.25,276,No,D
yes,USA,0.722222222,0.611111111,0.777777778,263,No,C
yes,EURO,0.723404255,0.29787234,0.319148936,276,Yes,W
no,USA,0.723404255,0.340425532,0.404255319,265,No,C
no,EURO,0.724137931,0.017241379,0.086206897,277,No,D
no,EURO,0.725806452,0.64516129,0.758064516,261,Yes,C
no,USA,0.727272727,0.151515152,0.181818182,249,Yes,W
no,EURO,0.727272727,0.272727273,0.493506494,266,Yes,C
yes,USA,0.727272727,0.454545455,0.522727273,267,Yes,W
no,EURO,0.728571429,0.3,0.314285714,267,Yes,W
yes,USA,0.729166667,0.166666667,0.208333333,258,Yes,C
yes,USA,0.72972973,0.189189189,0.391891892,260,No,D
no,USA,0.73015873,0.53968254,0.380952381,278,Yes,W
yes,USA,0.73015873,0.238095238,0.444444444,257,Yes,C
no,CAN,0.730769231,0.096153846,0.057692308,280,No,D
no,USA,0.731707317,0.243902439,0.219512195,274,Yes,W
no,EURO,0.732142857,0.017857143,0.071428571,278,Yes,D
no,EURO,0.732142857,0,0.125,262,Yes,D
no,EURO,0.733333333,0.35,0.466666667,286,No,W
yes,EURO,0.734375,0.1875,0.234375,279,Yes,W
no,USA,0.734375,0.40625,0.828125,267,Yes,W
no,USA,0.734693878,0.653061224,0.653061224,287,No,W
no,CAN,0.735294118,0.382352941,0.352941176,260,No,W
no,EURO,0.735294118,0.470588235,0.544117647,259,Yes,W
no,EURO,0.735294118,0.485294118,0.764705882,268,Yes,C
no,CAN,0.736111111,0.277777778,0.5,291,Yes,C
no,USA,0.736111111,0.333333333,0.555555556,259,Yes,W
no,CAN,0.736842105,0.026315789,0.078947368,275,No,D
yes,CAN,0.736842105,0.342105263,0.315789474,256,No,W
yes,CAN,0.736842105,0.921052632,2.105263158,269,No,C
yes,CAN,0.738095238,0.476190476,0.857142857,269,No,C
no,EURO,0.739726027,0.246575342,0.219178082,291,No,C
yes,USA,0.740740741,0.148148148,0.240740741,285,No,D
yes,CAN,0.740740741,0.296296296,0.444444444,275,No,D
no,EURO,0.740740741,0.37037037,0.592592593,264,Yes,C
yes,USA,0.740740741,0.740740741,0.62962963,295,No,W
no,EURO,0.744186047,0.11627907,0.23255814,283,Yes,D
no,USA,0.744186047,0.348837209,0.348837209,261,Yes,W
no,EURO,0.745762712,0.118644068,0.254237288,269,Yes,W
no,CAN,0.745762712,0.711864407,0.661016949,272,No,C
no,USA,0.745762712,0.847457627,0.915254237,252,Yes,C
yes,USA,0.745762712,0.593220339,1.406779661,271,Yes,C
no,USA,0.75,0,0.1875,265,No,D
no,EURO,0.75,0.2,0.3,271,No,C
no,USA,0.75,0.267857143,0.482142857,274,Yes,W
no,CAN,0.75,0.558823529,0.794117647,269,Yes,W
no,USA,0.753846154,0.015384615,0.215384615,259,Yes,D
no,USA,0.755555556,0.266666667,0.311111111,288,Yes,W
yes,EURO,0.756756757,0.972972973,0.972972973,264,Yes,C
no,CAN,0.757575758,0.090909091,0.409090909,268,Yes,D
no,EURO,0.76056338,0.507042254,0.676056338,273,No,C
no,CAN,0.761904762,0.261904762,0.547619048,288,No,W
no,EURO,0.763157895,0.144736842,0.289473684,254,Yes,D
no,EURO,0.763636364,0.927272727,1.181818182,281,Yes,C
no,CAN,0.764705882,0.5,0.485294118,272,Yes,W
yes,CAN,0.764705882,0.161764706,0.764705882,297,No,D
yes,CAN,0.765957447,0.319148936,0.085106383,271,Yes,W
no,CAN,0.766666667,0.133333333,0.311111111,264,No,D
no,USA,0.768115942,0.15942029,0.173913043,291,Yes,C
no,CAN,0.769230769,1.153846154,0.538461538,275,Yes,W
no,CAN,0.769230769,0.076923077,0.730769231,282,No,D
yes,USA,0.769230769,1,0.884615385,286,No,C
yes,CAN,0.771428571,0,0.114285714,294,Yes,D
yes,EURO,0.771929825,0.421052632,0.684210526,287,Yes,C
no,USA,0.772727273,0.068181818,0.363636364,264,No,D
yes,EURO,0.774193548,0.14516129,0.225806452,255,Yes,W
yes,USA,0.774193548,0.129032258,0.241935484,264,Yes,C
yes,USA,0.774193548,0.258064516,0.387096774,276,No,D
no,EURO,0.774193548,0.322580645,0.516129032,259,No,W
yes,USA,0.774193548,0.532258065,0.661290323,283,Yes,W
yes,USA,0.775510204,0.265306122,0.163265306,259,Yes,W
yes,USA,0.775510204,0.244897959,0.530612245,267,No,C
yes,USA,0.777777778,0.166666667,0.222222222,297,Yes,D
no,USA,0.777777778,0.333333333,1.444444444,250,No,D
no,CAN,0.779220779,0.181818182,0.298701299,267,Yes,C
no,CAN,0.779411765,0.338235294,0.661764706,278,No,W
no,CAN,0.779661017,0.322033898,1.237288136,267,Yes,W
yes,CAN,0.78125,0.140625,0.03125,282,No,D
no,CAN,0.782608696,0.52173913,0.52173913,252,Yes,W
yes,CAN,0.785714286,0.25,0.214285714,258,No,W
no,USA,0.785714286,0.285714286,1.107142857,279,No,D
no,USA,0.787878788,0.121212121,0.378787879,262,Yes,W
yes,USA,0.787878788,0.227272727,0.454545455,247,No,C
yes,CAN,0.787878788,0.363636364,0.545454545,268,No,C
yes,CAN,0.787878788,0.818181818,0.666666667,255,Yes,W
no,EURO,0.787878788,0.333333333,0.727272727,279,No,C
yes,USA,0.788732394,0.295774648,0.323943662,257,Yes,W
yes,EURO,0.789473684,0.065789474,0.157894737,285,Yes,D
no,CAN,0.789473684,0.105263158,0.157894737,276,No,C
yes,CAN,0.789473684,0.368421053,0.289473684,278,No,C
no,EURO,0.790322581,0,0.14516129,285,Yes,D
no,USA,0.790697674,0.23255814,0.744186047,269,Yes,D
yes,EURO,0.791044776,0.567164179,0.567164179,301,Yes,C
yes,EURO,0.79245283,0.132075472,0.320754717,292,Yes,D
yes,EURO,0.794117647,0.132352941,0.117647059,272,Yes,D
no,CAN,0.794117647,0.338235294,0.279411765,260,Yes,C
yes,USA,0.794117647,0.382352941,0.647058824,252,Yes,C
no,EURO,0.796610169,0.508474576,1.033898305,253,No,W
yes,USA,0.8,0.163636364,0.109090909,271,No,D
no,USA,0.8,0,0.2,261,No,D
no,CAN,0.8,0.2,0.22,261,No,D
yes,EURO,0.8,0.088888889,0.222222222,273,Yes,D
yes,CAN,0.8,0.44,0.36,278,Yes,W
yes,USA,0.8,0.2,0.4,273,No,C
no,EURO,0.8,0,1,277,No,C
no,EURO,0.807017544,0.070175439,0.228070175,288,Yes,W
no,CAN,0.807017544,0.192982456,0.421052632,248,No,C
yes,EURO,0.807228916,0.506024096,0.313253012,256,Yes,W
no,CAN,0.808510638,0.191489362,0.829787234,266,Yes,D
yes,USA,0.808823529,0.426470588,0.779411765,265,Yes,C
yes,CAN,0.80952381,0,0.095238095,266,No,D
no,EURO,0.810810811,0.054054054,0.081081081,301,Yes,D
yes,USA,0.811594203,0.15942029,0.362318841,248,Yes,D
no,EURO,0.8125,0.34375,0.390625,262,No,C
yes,USA,0.813559322,0.203389831,0.305084746,297,No,D
no,EURO,0.814285714,0.228571429,0.414285714,271,Yes,C
no,EURO,0.814814815,0.148148148,0.135802469,262,Yes,D
no,EURO,0.814814815,1.074074074,0.574074074,283,Yes,W
no,EURO,0.815384615,0.092307692,0.307692308,285,Yes,D
yes,EURO,0.815789474,0.394736842,0.486842105,268,Yes,C
yes,EURO,0.816326531,0.265306122,0.244897959,257,Yes,W
no,USA,0.818181818,0.159090909,0.227272727,280,No,D
no,EURO,0.820512821,0.282051282,0.153846154,278,Yes,W
no,USA,0.820895522,0.597014925,1.268656716,251,Yes,C
yes,EURO,0.822580645,0.370967742,0.306451613,257,Yes,W
yes,USA,0.822580645,0.596774194,0.838709677,278,Yes,W
no,CAN,0.823529412,0.058823529,0.382352941,298,No,D
yes,CAN,0.823529412,0.282352941,0.447058824,275,Yes,C
no,USA,0.824324324,0.162162162,0.540540541,279,Yes,W
no,EURO,0.824561404,0.087719298,0.210526316,264,Yes,C
yes,USA,0.826086957,0.108695652,0.152173913,288,Yes,D
yes,EURO,0.827586207,0.120689655,0.172413793,251,Yes,W
no,CAN,0.828125,0.390625,0.328125,266,No,W
yes,USA,0.828571429,0.457142857,0.4,272,No,W
no,CAN,0.829268293,0.024390244,0.12195122,268,Yes,D
yes,USA,0.829268293,0.073170732,0.292682927,280,Yes,D
no,EURO,0.829268293,0.756097561,0.731707317,239,No,W
no,USA,0.833333333,0.027777778,0.166666667,287,No,C
no,USA,0.833333333,0.55,0.416666667,256,Yes,C
no,EURO,0.833333333,0.458333333,0.833333333,255,Yes,W
yes,CAN,0.833333333,1.1,1.116666667,295,Yes,W
no,EURO,0.835820896,0.432835821,0.537313433,284,Yes,W
no,EURO,0.837837838,0,0.067567568,329,Yes,D
yes,CAN,0.838709677,0.096774194,0.193548387,256,Yes,W
no,USA,0.838709677,0.935483871,0.935483871,258,No,W
yes,USA,0.839285714,0.625,0.714285714,252,Yes,C
no,EURO,0.84,0.2,0.24,272,Yes,D
no,EURO,0.842105263,0.105263158,0.49122807,250,Yes,D
no,CAN,0.84375,0.375,0.28125,253,No,W
no,EURO,0.844155844,0.350649351,0.558441558,245,Yes,C
yes,USA,0.844444444,0.644444444,0.6,257,Yes,C
no,USA,0.846153846,0.205128205,0.358974359,261,Yes,W
no,USA,0.846153846,0.25,0.538461538,271,Yes,D
yes,CAN,0.846153846,0.5,0.615384615,278,Yes,C
no,USA,0.847058824,0.341176471,0.270588235,276,Yes,W
no,USA,0.847457627,0.338983051,0.542372881,275,Yes,C
no,USA,0.848484848,0.121212121,0.121212121,311,No,W
no,CAN,0.85,0.05,0.075,279,Yes,W
no,CAN,0.85106383,0.276595745,0.234042553,277,Yes,D
no,EURO,0.85106383,0.106382979,0.255319149,270,Yes,D
no,EURO,0.852459016,0.016393443,0.06557377,281,Yes,D
no,USA,0.852459016,0.557377049,1,298,Yes,C
no,CAN,0.852941176,0.058823529,0.235294118,260,Yes,D
no,CAN,0.852941176,0.367647059,0.264705882,269,Yes,W
no,EURO,0.852941176,0.382352941,0.367647059,272,No,W
yes,EURO,0.857142857,0,0.035714286,275,No,W
no,CAN,0.857142857,0.380952381,0.214285714,266,No,W
yes,EURO,0.857142857,0.089285714,0.232142857,269,Yes,D
no,CAN,0.857142857,0.408163265,0.244897959,271,No,C
yes,USA,0.857142857,0.357142857,0.714285714,245,No,C
no,EURO,0.85915493,0.112676056,0.492957746,273,Yes,D
no,CAN,0.861111111,0.166666667,0.222222222,264,No,W
no,EURO,0.863636364,0.318181818,0.613636364,275,No,C
yes,EURO,0.864864865,0.148648649,0.202702703,285,Yes,W
no,EURO,0.865671642,0.47761194,0.417910448,281,No,W
yes,USA,0.866666667,0.1,0.3,289,No,D
no,EURO,0.866666667,0.666666667,0.6,251,Yes,C
yes,EURO,0.867647059,0.102941176,0.470588235,279,Yes,D
yes,CAN,0.868852459,0.131147541,0.442622951,280,Yes,D
yes,CAN,0.869565217,0.173913043,0.304347826,271,Yes,W
no,EURO,0.869565217,0.304347826,0.47826087,284,Yes,W
no,CAN,0.869565217,0.369565217,0.586956522,280,No,W
no,CAN,0.869565217,0.52173913,0.673913043,244,Yes,W
no,EURO,0.870967742,0.435483871,0.483870968,273,Yes,W
no,CAN,0.872093023,0.302325581,0.511627907,267,No,C
no,EURO,0.873015873,0.444444444,0.682539683,273,Yes,C
no,USA,0.873417722,0.291139241,0.443037975,254,Yes,C
no,CAN,0.875,0.416666667,0.270833333,299,No,C
yes,CAN,0.875,0.160714286,0.321428571,280,No,C
no,EURO,0.875,0.46875,0.375,274,No,C
no,EURO,0.875,0.361111111,0.486111111,295,Yes,W
no,EURO,0.877192982,0.245614035,0.210526316,273,Yes,C
no,EURO,0.877192982,0.789473684,0.912280702,246,No,W
no,EURO,0.87804878,0.219512195,0.195121951,283,No,C
no,CAN,0.878787879,0.287878788,0.242424242,276,Yes,W
no,CAN,0.878787879,0.818181818,0.772727273,281,Yes,C
no,USA,0.88,0.04,0.28,283,No,D
yes,CAN,0.88,0.36,0.76,276,No,D
yes,EURO,0.88,1.52,2.08,270,No,C
no,EURO,0.881355932,0.677966102,1.084745763,242,No,W
no,EURO,0.882352941,0.235294118,0.264705882,285,No,D
no,CAN,0.882352941,0.441176471,0.338235294,265,Yes,C
no,USA,0.882352941,0.102941176,0.544117647,278,Yes,D
yes,EURO,0.882352941,0.441176471,0.558823529,260,Yes,C
no,CAN,0.882352941,0.529411765,0.602941176,262,Yes,C
yes,CAN,0.883116883,0.402597403,0.506493506,275,Yes,C
yes,CAN,0.883333333,0.6,0.633333333,251,No,W
no,CAN,0.88372093,0.209302326,0.325581395,261,No,C
yes,EURO,0.88372093,0.627906977,0.511627907,264,No,W
no,CAN,0.884615385,0.423076923,0.25,283,No,W
yes,EURO,0.885245902,0.459016393,0.524590164,265,Yes,W
no,CAN,0.885714286,0.328571429,0.457142857,284,Yes,C
yes,EURO,0.887096774,0.080645161,0.306451613,258,Yes,D
no,CAN,0.888888889,0.074074074,0.074074074,273,No,D
no,CAN,0.888888889,0.222222222,0.305555556,284,No,W
yes,EURO,0.888888889,0.513888889,0.375,235,Yes,W
no,EURO,0.888888889,0.240740741,0.388888889,277,Yes,C
no,CAN,0.888888889,0.736111111,0.680555556,253,Yes,C
no,EURO,0.888888889,0.166666667,0.777777778,259,No,W
no,CAN,0.888888889,0.523809524,0.825396825,277,Yes,C
no,CAN,0.888888889,0.472222222,0.888888889,280,No,W
no,CAN,0.890410959,0.287671233,0.424657534,274,Yes,C
no,EURO,0.891891892,0.162162162,0.351351351,282,No,D
no,EURO,0.892307692,0.569230769,0.461538462,256,Yes,C
no,EURO,0.893617021,0.382978723,0.276595745,273,No,W
no,EURO,0.894736842,0.184210526,0.210526316,267,No,W
yes,USA,0.894736842,0.210526316,0.236842105,279,No,C
yes,CAN,0.897058824,0.294117647,0.558823529,280,Yes,W
yes,EURO,0.897435897,0.666666667,1.333333333,255,Yes,D
