NHL_GP_Greater_Than_0,Nationality,PIMs_Per_Game_in_Draft_Year,Goals_Per_Game_in_Draft_Year,Assists_Per_Game_in_Draft_Year,Player_Size_in_Draft_Year,Playoffs_in_Draft_Year,Position_in_Draft_Year
no,EURO,0.253521127,0.225352113,0.338028169,266,Yes,C
no,USA,0.253968254,0.206349206,0.428571429,261,No,C
no,USA,0.253968254,0.317460317,0.523809524,256,No,W
yes,USA,0.256410256,0.256410256,0.205128205,261,No,C
no,USA,0.257142857,0.185714286,0.228571429,247,No,C
no,EURO,0.258064516,0.161290323,0.225806452,298,Yes,W
no,USA,0.259259259,0.111111111,0.148148148,282,Yes,W
yes,CAN,0.25974026,0.597402597,0.506493506,255,Yes,C
no,USA,0.260869565,0.043478261,0.086956522,258,Yes,C
yes,USA,0.260869565,0.115942029,0.217391304,289,No,C
no,CAN,0.260869565,0.173913043,0.507246377,269,Yes,D
yes,USA,0.263157895,0.157894737,0.157894737,278,No,W
yes,USA,0.266666667,0.133333333,0.2,279,No,C
no,USA,0.266666667,0.366666667,0.333333333,286,Yes,W
yes,USA,0.266666667,0.4,0.55,237,Yes,C
no,EURO,0.272727273,0.090909091,0.113636364,278,No,D
yes,EURO,0.272727273,0.484848485,0.318181818,248,Yes,W
yes,EURO,0.272727273,0.568181818,0.568181818,269,No,W
no,CAN,0.275362319,0.173913043,0.449275362,233,Yes,D
no,USA,0.275862069,0.5,0.517241379,269,Yes,W
no,EURO,0.28125,0.25,0.265625,248,No,C
no,EURO,0.285714286,0.178571429,0.321428571,270,Yes,W
no,USA,0.285714286,0,0.571428571,289,No,D
no,EURO,0.287878788,0.333333333,0.439393939,272,Yes,C
yes,EURO,0.291666667,0.277777778,0.625,261,Yes,W
yes,USA,0.292682927,0.024390244,0.146341463,291,Yes,D
yes,USA,0.292682927,0.317073171,0.634146341,247,No,C
yes,USA,0.293333333,0.466666667,0.626666667,263,No,W
yes,USA,0.296296296,0.518518519,0.37037037,274,No,C
yes,CAN,0.296296296,0.407407407,0.703703704,267,Yes,W
no,USA,0.29787234,0.191489362,0.14893617,298,No,W
yes,USA,0.29787234,0.212765957,0.234042553,277,No,W
yes,EURO,0.298507463,0.492537313,0.492537313,252,Yes,W
yes,CAN,0.3,0.55,0.65,288,Yes,C
yes,CAN,0.303030303,0.363636364,0.363636364,266,No,W
no,CAN,0.303030303,0.333333333,0.787878788,311,Yes,D
yes,CAN,0.304347826,0.456521739,0.543478261,268,No,W
no,EURO,0.304347826,0.586956522,0.782608696,273,Yes,C
yes,CAN,0.305555556,0.625,0.611111111,290,Yes,C
no,USA,0.307692308,0.25,0.307692308,266,No,C
yes,EURO,0.307692308,0.711538462,0.865384615,275,Yes,C
